pid,year,provcd,age_,age2,gen,mar,rural,medsure_dum,edu,educ,wage,lnwage,inc1,job
118404501,2022,62,38,1444,1,1,0,1,5,16,80000,11.289794,32450,1
140877103,2022,11,46,2116,0,0,0,1,2,9,9000,9.1050911,30000,1
130657103,2022,13,49,2401,1,1,0,1,4,15,180000,12.100718,67666.664,1
210778102,2022,21,57,3249,0,1,0,1,3,12,100000,11.512936,87500,1
120007101,2022,12,42,1764,1,1,0,1,5,16,130000,11.775297,43333.332,1
120009104,2022,12,49,2401,0,1,0,1,5,16,55000,10.915107,85000,1
120012102,2022,12,41,1681,0,1,0,1,5,16,70000,11.156265,93333.336,1
120013101,2022,12,45,2025,0,0,1,1,6,19,72000,11.184435,41000,1
120016102,2022,12,36,1296,1,1,1,1,1,6,95000,11.461642,25000,1
120018101,2022,12,42,1764,0,0,0,1,5,16,120000,11.695255,80000,1
120020101,2022,12,58,3364,0,1,0,1,3,12,96000,11.472114,100400,1
120023101,2022,12,61,3721,0,1,1,1,2,9,0,0,29500,1
120026101,2022,12,50,2500,0,1,0,1,5,16,78200,11.267037,80000,1
120033103,2022,12,32,1024,1,1,1,1,4,15,60000,11.002116,40975,1
120039101,2022,12,39,1521,0,0,0,1,4,15,70000,11.156265,57500,1
120056101,2022,12,52,2704,0,1,0,1,5,16,130000,11.775297,83000,1
120058103,2022,12,24,576,1,0,0,1,5,16,55000,10.915107,63533.332,1
120063101,2022,12,42,1764,1,1,1,1,5,16,106000,11.571204,100500,1
120071101,2022,12,47,2209,0,1,0,1,3,12,50000,10.819798,40000,1
120076105,2022,12,44,1936,0,1,1,1,2,9,3000,8.0067005,20400,0
120077101,2022,12,58,3364,0,0,1,1,1,6,37000,10.518701,40000,1
120081103,2022,12,54,2916,0,1,1,1,1,6,3000,8.0067005,7500,1
120082101,2022,12,40,1600,0,1,1,1,2,9,60000,11.002116,33333.332,1
120095101,2022,12,44,1936,1,0,0,1,3,12,50000,10.819798,14250,1
120100103,2022,12,33,1089,1,1,1,1,3,12,50000,10.819798,30000,1
120101102,2022,12,46,2116,0,0,1,1,2,9,7500,8.9227915,12327,1
120103103,2022,12,44,1936,1,1,1,1,3,12,55000,10.915107,15166.667,1
120104103,2022,12,42,1764,1,0,1,1,2,9,32000,10.373523,14560,1
120111103,2022,12,59,3481,1,1,0,1,3,12,75000,11.225257,69250,1
130502105,2022,14,36,1296,0,1,1,1,2,9,40000,10.59666,75000,1
120129101,2022,12,53,2809,0,1,0,1,2,9,35000,10.463132,68500,1
130833104,2022,11,31,961,0,1,0,1,5,16,50000,10.819798,50000,1
120977551,2022,14,41,1681,0,1,1,1,3,12,50000,10.819798,60000,1
140543101,2022,14,34,1156,0,1,1,1,5,16,70000,11.156265,66666.664,1
230249101,2022,23,32,1024,0,1,1,1,4,15,50000,10.819798,50000,1
230622101,2022,37,33,1089,0,1,0,1,1,6,25000,10.126671,27533.334,1
311119103,2022,32,31,961,0,1,1,1,4,15,82000,11.314487,75000,1
122426431,2022,41,49,2401,0,1,1,1,2,9,20000,9.9035378,30000,1
122705501,2022,21,32,1024,0,1,1,1,3,12,26000,10.165891,20000,1
311956106,2022,31,33,1089,0,0,0,1,5,16,70000,11.156265,37750,1
312506103,2022,31,50,2500,0,1,0,1,2,9,30000,10.308986,30000,1
320052103,2022,31,35,1225,0,0,1,1,5,16,70000,11.156265,82000,1
230037103,2022,21,37,1369,0,0,1,1,5,16,80000,11.289794,55000,1
330295103,2022,33,29,841,0,1,0,1,4,15,63000,11.050906,51333.332,1
340314104,2022,34,37,1369,1,1,1,1,2,9,42880,10.666184,26550,1
230411103,2022,23,36,1296,0,1,0,1,5,16,60000,11.002116,30000,1
410695104,2022,41,32,1024,0,1,1,1,2,9,78000,11.264477,30000,1
411047106,2022,41,32,1024,0,1,1,1,2,9,35000,10.463132,65000,1
411168104,2022,42,25,625,1,1,0,1,2,9,85000,11.350418,85000,1
330044104,2022,33,41,1681,0,1,1,1,4,15,40000,10.59666,33333.332,1
420333102,2022,42,59,3481,1,1,1,1,2,9,20000,9.9035378,24333.334,1
340371103,2022,34,34,1156,0,0,1,1,2,9,57200,10.954327,35000,1
127185501,2022,35,37,1369,0,1,0,1,5,16,80000,11.289794,37333.332,1
350105103,2022,35,46,2116,1,1,1,1,1,6,74000,11.211834,29125,1
127580551,2022,36,37,1369,1,1,1,1,2,9,80000,11.289794,25650,1
360321102,2022,44,57,3249,1,1,1,1,2,9,52200,10.862857,57033.332,1
440363103,2022,44,35,1225,0,1,1,1,5,16,80000,11.289794,50000,1
370179103,2022,37,32,1024,0,1,0,1,3,12,30000,10.308986,21666.666,1
128367502,2022,37,35,1225,1,1,1,1,1,6,80000,11.289794,20000,1
130517103,2022,11,27,729,1,0,1,1,3,12,7000,8.8538084,101700,1
410202104,2022,41,32,1024,0,1,1,0,2,9,70000,11.156265,24285.715,0
441998104,2022,44,41,1681,0,1,1,1,2,9,60000,11.002116,21833.334,1
500166103,2022,44,53,2809,1,1,1,1,3,12,45000,10.71444,45000,1
510237101,2022,51,50,2500,1,1,1,1,0,0,70000,11.156265,40000,1
510322103,2022,51,37,1369,1,1,1,1,3,12,80000,11.289794,10187.5,1
411415104,2022,41,35,1225,1,1,1,1,1,6,65000,11.082158,19783.334,1
130008103,2022,13,35,1225,1,1,1,1,2,9,90000,11.407576,20320,1
130017103,2022,13,38,1444,1,1,1,1,2,9,94000,11.45106,17700,1
130022101,2022,13,46,2116,1,1,1,0,4,15,12000,9.392745,5500,1
130027103,2022,13,36,1296,1,1,1,1,2,9,40000,10.59666,8271.667,1
130030502,2022,13,33,1089,0,1,0,1,5,16,40000,10.59666,21428.572,1
510808103,2022,51,41,1681,1,1,1,0,2,9,120000,11.695255,100000,0
130034101,2022,13,45,2025,0,1,1,1,1,6,60000,11.002116,28333.334,1
130036106,2022,13,36,1296,1,1,1,1,2,9,60000,11.002116,23333.334,1
130039101,2022,13,57,3249,1,1,1,1,2,9,8400,9.0361061,5000,1
130042101,2022,13,40,1600,0,1,1,1,1,6,3100,8.0394802,17616.666,0
130046103,2022,13,41,1681,0,0,1,1,2,9,14000,9.5468836,5285,0
130051102,2022,13,45,2025,1,1,0,1,5,16,60000,11.002116,18142,1
130055101,2022,13,46,2116,0,1,1,1,1,6,40000,10.59666,26000,1
130056104,2022,13,35,1225,1,1,1,1,2,9,125000,11.736077,50000,1
130060101,2022,13,49,2401,1,1,1,1,3,12,30000,10.308986,21500,1
130065103,2022,13,39,1521,1,1,1,0,2,9,16000,9.6804066,3333.3333,1
130070103,2022,13,37,1369,1,1,1,1,2,9,0,0,13333.333,1
130073101,2022,13,39,1521,0,1,1,1,2,9,20000,9.9035378,14285.714,1
130078103,2022,13,32,1024,1,1,1,1,1,6,120000,11.695255,28100,1
130080102,2022,13,40,1600,1,0,1,1,2,9,123000,11.719948,47586.668,1
130082102,2022,13,44,1936,1,0,1,0,0,0,18000,9.7981825,12100,1
130088104,2022,13,32,1024,1,1,1,1,3,12,30000,10.308986,12432,1
130093102,2022,13,58,3364,1,1,1,1,2,9,35000,10.463132,20319,1
130098101,2022,13,41,1681,1,1,1,1,2,9,70000,11.156265,36666.668,1
130099101,2022,13,47,2209,1,1,1,1,3,12,60000,11.002116,22800,1
130101101,2022,13,34,1156,0,1,1,1,2,9,10000,9.2104406,17500,1
130103101,2022,13,42,1764,0,1,1,1,2,9,7500,8.9227915,10833.333,1
130104104,2022,13,45,2025,0,1,1,1,0,0,8000,8.9873219,8583.333,1
130115101,2022,13,60,3600,0,1,0,1,4,15,120000,11.695255,120000,1
130131102,2022,13,49,2401,0,1,0,1,5,16,150000,11.918397,100000,1
130133102,2022,13,39,1521,0,1,1,1,5,16,40000,10.59666,45000,1
130140101,2022,13,43,1849,0,1,0,1,4,15,55200,10.918736,48333.332,1
130147101,2022,13,48,2304,0,1,1,1,2,9,33000,10.404293,16666.666,1
130149431,2022,13,36,1296,0,1,1,1,5,16,70000,11.156265,30000,1
130151101,2022,13,46,2116,1,1,1,1,1,6,84000,11.338584,36000,1
130154103,2022,13,47,2209,1,1,1,1,2,9,54000,10.896758,37384,1
130158102,2022,13,34,1156,1,1,1,0,3,12,44000,10.691968,25955,1
130172102,2022,13,43,1849,1,1,0,1,3,12,46000,10.736419,18000,1
130173105,2022,13,45,2025,0,1,0,1,3,12,36000,10.491302,37715,1
130175103,2022,13,34,1156,0,1,0,1,2,9,42000,10.645449,23250,1
130193102,2022,13,63,3969,1,1,1,1,2,9,24000,10.085851,40000,1
130195431,2022,13,47,2209,0,0,0,1,3,12,37200,10.524091,25000,1
130197101,2022,13,52,2704,0,1,0,1,2,9,36000,10.491302,42100,1
130204105,2022,13,41,1681,0,1,0,1,4,15,36000,10.491302,30000,1
130206103,2022,13,33,1089,0,0,1,1,5,16,40000,10.59666,20984,1
130207102,2022,13,44,1936,1,1,0,1,5,16,50000,10.819798,473604.5,1
130210431,2022,13,32,1024,0,1,1,1,2,9,76000,11.238502,260500,1
130218102,2022,13,59,3481,1,1,0,1,2,9,14400,9.5750532,1346000,1
130228101,2022,13,44,1936,0,1,1,1,4,15,24000,10.085851,26800,1
130250101,2022,13,44,1936,0,1,0,1,5,16,120000,11.695255,65000,1
130275431,2022,13,36,1296,1,1,1,1,2,9,40000,10.59666,12780,1
130280103,2022,13,26,676,0,1,1,1,5,16,55000,10.915107,32000,1
130281101,2022,13,55,3025,1,1,1,1,1,6,4200,8.3430777,22750,1
130293101,2022,13,41,1681,1,1,1,1,1,6,40000,10.59666,12040,1
130295101,2022,13,36,1296,0,1,1,1,3,12,20000,9.9035378,25000,1
130297101,2022,13,46,2116,0,1,0,1,5,16,50000,10.819798,30000,1
130298101,2022,13,54,2916,1,1,1,1,2,9,36000,10.491302,20000,1
130299103,2022,13,32,1024,1,1,1,1,2,9,30000,10.308986,14825,1
130301103,2022,13,37,1369,1,1,1,1,1,6,27000,10.203629,16313.333,1
130306101,2022,13,43,1849,0,1,1,1,2,9,20000,9.9035378,13750,1
130307101,2022,13,47,2209,0,1,1,1,2,9,24000,10.085851,18840,1
130314101,2022,13,55,3025,1,1,1,1,2,9,30000,10.308986,20888.334,1
130319104,2022,13,32,1024,1,1,1,1,6,19,25000,10.126671,24000,1
130321102,2022,13,60,3600,0,1,1,1,2,9,24000,10.085851,14320,1
130322103,2022,13,41,1681,0,1,1,1,2,9,9800,9.1902399,24995.199,1
130323102,2022,13,41,1681,0,0,1,1,2,9,36000,10.491302,10066.667,1
130324431,2022,13,36,1296,0,1,1,1,5,16,30000,10.308986,23265.715,0
130340101,2022,13,53,2809,1,1,1,1,2,9,43200,10.673619,14833.333,1
130350102,2022,13,44,1936,1,1,1,1,2,9,30000,10.308986,13820,1
130357601,2022,51,30,900,0,1,1,1,4,15,32500,10.389026,16400,1
130381105,2022,13,46,2116,1,1,1,1,2,9,100100,11.513935,40780,1
130384101,2022,13,52,2704,1,0,0,1,2,9,12500,9.4335642,1012750,1
130389101,2022,13,48,2304,1,1,1,1,2,9,84000,11.338584,24545,1
130397102,2022,13,49,2401,0,1,1,1,1,6,26000,10.165891,18880,1
130399103,2022,13,46,2116,1,1,1,1,3,12,75000,11.225257,30122.5,1
130416101,2022,13,55,3025,0,1,1,1,3,12,26100,10.169729,41800,1
130420101,2022,13,43,1849,1,1,1,1,4,15,84000,11.338584,24240,1
130423101,2022,13,49,2401,1,1,1,1,2,9,120000,11.695255,20240,1
130426101,2022,13,52,2704,1,1,1,1,2,9,6000,8.6996813,11250,1
130452101,2022,13,48,2304,1,1,1,1,1,6,46200,10.740757,38925,1
130453102,2022,13,45,2025,1,1,1,1,2,9,27500,10.221977,10532.5,1
130457101,2022,13,59,3481,0,1,0,1,1,6,4000,8.2943001,18830,1
130465103,2022,11,43,1849,1,1,0,1,2,9,64100,11.068215,18000,1
456465431,2022,13,34,1156,0,1,1,1,3,12,30000,10.308986,21250,1
130477101,2022,13,54,2916,1,1,1,1,2,9,7000,8.8538084,4333.3335,0
130479103,2022,13,36,1296,1,1,1,1,2,9,72000,11.184435,19200,1
130480104,2022,13,48,2304,1,1,1,1,2,9,30000,10.308986,119740,1
130488101,2022,34,48,2304,0,1,1,1,3,12,60000,11.002116,47500,1
130489102,2022,11,47,2209,1,1,0,1,4,15,100000,11.512936,25033.334,1
130492101,2022,13,58,3364,1,1,1,1,2,9,37000,10.518701,51841.602,1
130493101,2022,13,51,2601,1,1,1,1,3,12,55000,10.915107,20626.666,1
130494101,2022,13,51,2601,1,1,1,1,2,9,100000,11.512936,39608,1
130496102,2022,13,48,2304,0,1,0,1,5,16,50000,10.819798,100000,1
130498431,2022,13,35,1225,0,1,1,1,3,12,20000,9.9035378,10348.333,1
130499101,2022,13,50,2500,1,1,1,1,2,9,126000,11.744045,30000,1
130503502,2022,13,36,1296,0,1,1,1,4,15,16000,9.6804066,24000,1
130505207,2022,13,40,1600,0,1,1,1,3,12,5000,8.5173931,12558.333,1
130506102,2022,13,41,1681,0,1,1,1,2,9,5000,8.5173931,12500,1
130507101,2022,13,58,3364,1,1,1,1,2,9,20000,9.9035378,13806.667,1
130510104,2022,13,35,1225,1,0,1,1,2,9,16500,9.7111759,21666.666,1
130516101,2022,13,55,3025,1,1,1,1,2,9,19200,9.8627176,18685,1
130523101,2022,13,49,2401,0,1,1,1,2,9,27500,10.221977,18750,1
130527102,2022,13,42,1764,0,1,1,1,2,9,3600,8.1889668,12035.667,1
130532551,2022,13,38,1444,0,0,1,1,2,9,10600,9.2687035,40000,1
130535101,2022,13,37,1369,0,1,1,1,2,9,5500,8.6126852,12500,1
130536104,2022,13,31,961,1,1,1,1,4,15,75000,11.225257,18750,1
130538105,2022,13,34,1156,1,1,1,1,2,9,30000,10.308986,20704,1
130541102,2022,13,64,4096,1,1,1,1,2,9,9720,9.182044,10127,1
130544101,2022,13,57,3249,0,0,1,1,2,9,21600,9.9804945,40000,1
130545102,2022,13,50,2500,1,1,1,1,2,9,18000,9.7981825,10000,1
130546102,2022,13,36,1296,0,1,1,1,2,9,24350,10.100328,43900,1
130551102,2022,13,55,3025,1,1,1,1,1,6,33200,10.410336,11086.667,1
130552102,2022,13,51,2601,1,1,1,1,2,9,50000,10.819798,44212.5,1
130555104,2022,13,37,1369,1,1,1,1,2,9,70000,11.156265,20000,1
130558102,2022,13,56,3136,1,1,1,1,1,6,5400,8.5943394,7230,0
130563102,2022,13,41,1681,0,1,1,1,1,6,2000,7.6014023,6733.3335,1
130565102,2022,13,27,729,0,1,1,1,2,9,21000,9.9523249,20892,1
130566101,2022,13,52,2704,1,1,1,1,2,9,50000,10.819798,26666.666,1
130571101,2022,13,38,1444,1,1,1,1,2,9,18000,9.7981825,15657.5,1
130574101,2022,13,52,2704,1,1,1,1,2,9,24000,10.085851,30246.666,1
130578101,2022,13,45,2025,1,1,1,1,2,9,20000,9.9035378,8537.5,1
130588104,2022,13,47,2209,0,1,1,1,2,9,30000,10.308986,17000,1
130597101,2022,13,53,2809,1,1,1,1,1,6,70000,11.156265,82700,1
130601102,2022,13,53,2809,0,1,1,1,2,9,30000,10.308986,13333.333,1
130602101,2022,13,51,2601,1,1,0,1,5,16,92580,11.43584,38750,1
130610101,2022,13,62,3844,1,1,1,1,3,12,60000,11.002116,10448.8,1
130619101,2022,13,54,2916,1,1,1,1,2,9,90000,11.407576,27775,1
130643104,2022,13,51,2601,1,0,1,1,1,6,13500,9.510519,16666.666,1
130673101,2022,13,47,2209,0,1,1,1,2,9,8000,8.9873219,15025,1
130676101,2022,13,49,2401,0,1,1,1,1,6,6000,8.6996813,38000,1
130693102,2022,13,39,1521,1,1,1,1,1,6,30000,10.308986,9837.5,1
130697102,2022,13,40,1600,0,1,1,1,3,12,42000,10.645449,31650,1
130699102,2022,13,50,2500,0,1,1,1,2,9,7200,8.8819752,41820,0
130717101,2022,13,40,1600,0,1,1,1,2,9,48000,10.778977,25000,1
130719102,2022,13,48,2304,0,1,1,1,2,9,24000,10.085851,39355,1
130724101,2022,13,51,2601,0,1,1,1,2,9,0,0,19750,1
130733101,2022,13,50,2500,0,1,0,1,3,12,40400,10.606609,25000,1
130736101,2022,13,46,2116,0,0,1,1,2,9,24000,10.085851,12500,1
130749101,2022,13,62,3844,1,0,0,1,3,12,0,0,47700,0
130750104,2022,13,36,1296,0,1,1,1,4,15,35000,10.463132,20966.666,1
130755104,2022,13,31,961,1,1,1,1,5,16,125000,11.736077,126666.66,1
130756102,2022,13,51,2601,1,1,1,1,1,6,60000,11.002116,46808.332,1
130758101,2022,13,54,2916,1,1,1,1,3,12,7000,8.8538084,7766.6665,1
130760532,2022,13,54,2916,1,1,1,1,1,6,60000,11.002116,30000,1
130773101,2022,13,51,2601,0,1,1,1,2,9,18000,9.7981825,5000,1
130805102,2022,13,58,3364,1,1,1,1,2,9,18000,9.7981825,19000,1
130810107,2022,13,49,2401,0,1,1,1,2,9,15000,9.6158724,12828.571,1
130823101,2022,13,52,2704,0,1,1,1,1,6,26400,10.181157,25813.334,1
130828102,2022,11,60,3600,1,1,1,1,2,9,33600,10.422311,17200,1
130836101,2022,13,51,2601,0,1,1,1,1,6,44000,10.691968,22000,1
130851105,2022,13,32,1024,0,0,1,1,6,19,100000,11.512936,100000,1
130859101,2022,13,62,3844,1,1,1,1,0,0,26400,10.181157,19575,1
130863101,2022,13,49,2401,1,1,1,1,2,9,36000,10.491302,12000,1
130864431,2022,13,41,1681,1,1,1,1,2,9,40000,10.59666,8000,1
130865102,2022,13,48,2304,0,1,1,1,0,0,12000,9.392745,27076.666,0
130872102,2022,13,42,1764,1,1,1,1,2,9,50000,10.819798,10200,1
130876101,2022,12,38,1444,1,1,1,1,3,12,30000,10.308986,15000,1
130877101,2022,13,43,1849,0,1,1,1,2,9,27000,10.203629,20000,1
130878101,2022,13,44,1936,0,1,1,1,2,9,30000,10.308986,46000,1
130879101,2022,13,56,3136,0,1,1,1,1,6,4000,8.2943001,4000,1
130881103,2022,13,44,1936,1,1,1,1,3,12,80000,11.289794,32820,1
130883102,2022,13,49,2401,0,1,1,1,2,9,15000,9.6158724,9350,1
130884101,2022,13,44,1936,0,1,1,1,2,9,24000,10.085851,20000,1
130885101,2022,13,53,2809,1,1,1,1,2,9,43200,10.673619,10925,1
130889101,2022,13,56,3136,0,1,1,1,1,6,14400,9.5750532,45000,1
130890501,2022,13,30,900,0,1,0,1,3,12,30000,10.308986,21428.572,1
130891101,2022,13,54,2916,1,1,1,1,1,6,7200,8.8819752,5590,1
130892102,2022,13,59,3481,1,1,1,1,2,9,50000,10.819798,30714.285,1
130893104,2022,13,36,1296,1,1,1,1,3,12,60000,11.002116,17120,1
130894106,2022,13,36,1296,0,1,1,1,3,12,9000,9.1050911,17250,1
130896101,2022,13,55,3025,1,1,1,1,2,9,50000,10.819798,26035,0
130898101,2022,13,40,1600,0,1,1,1,2,9,25000,10.126671,17500,1
130899101,2022,13,44,1936,0,1,1,1,1,6,30800,10.335302,28500,1
130900103,2022,13,37,1369,0,1,1,1,2,9,25000,10.126671,20208.334,1
130907104,2022,13,52,2704,0,0,1,1,1,6,12000,9.392745,18000,1
130914101,2022,13,64,4096,0,1,1,1,1,6,5000,8.5173931,11350,0
130917103,2022,13,33,1089,1,1,1,1,4,15,160000,11.982935,51000,1
130919204,2022,13,39,1521,1,0,1,1,2,9,25000,10.126671,10000,1
130925102,2022,13,51,2601,1,1,1,1,3,12,30000,10.308986,22500,1
130937101,2022,13,49,2401,0,1,1,1,1,6,11500,9.3501892,20740,1
130939103,2022,13,30,900,0,1,1,1,2,9,15000,9.6158724,17606.666,1
340257104,2022,34,40,1600,0,1,1,1,5,16,70000,11.156265,45000,1
520567103,2022,33,44,1936,1,0,1,1,2,9,6000,8.6996813,7000,1
360091103,2022,36,55,3025,0,1,1,1,0,0,5000,8.5173931,6675,1
610251103,2022,61,39,1521,1,1,1,1,4,15,86000,11.362114,41200,1
440361104,2022,44,30,900,0,1,1,1,2,9,30000,10.308986,15000,1
620640103,2022,11,35,1225,0,0,1,1,4,15,10,2.3978953,10,1
620903103,2022,61,34,1156,0,1,1,1,2,9,17000,9.7410278,26500,1
621283103,2022,62,36,1296,1,1,1,1,5,16,75000,11.225257,40400,1
441631103,2022,44,34,1156,1,1,0,0,5,16,400000,12.899222,166666.67,1
441721105,2022,44,31,961,1,0,1,1,4,15,60000,11.002116,80000,1
621700104,2022,42,30,900,0,1,0,1,5,16,130000,11.775297,175000,1
621729101,2022,62,38,1444,0,0,0,1,4,15,36300,10.4996,28200,1
441945104,2022,44,52,2704,0,1,1,1,1,6,62400,11.041337,54000,1
120031103,2022,12,33,1089,0,1,0,1,5,16,60000,11.002116,48333.332,1
